Taxon_name	Attribute
Geothermomicrobium	aerobic
Glaciibacter	aerobic
Glaciihabitans	aerobic
Granulicella	aerobic
Gryllotalpicola	aerobic
Halalkalicoccus	aerobic
Halanaerobaculum	anaerobic
Haloarchaeobius	aerobic
Haloimpatiens	anaerobic
Haloparvum	anaerobic
Halopiger	aerobic
Haloplasma	anaerobic
Haloprofundus	anaerobic
Halostagnicola	aerobic
Halostella 	aerobic
Halostella 	anaerobic
Halotalea	facultatively anaerobic
Halovarius	aerobic
Halovenus	aerobic
Herbiconiux	aerobic
Herminiimonas	aerobic
Hwanghaeicola	aerobic
Hydrotalea	aerobic
Ignavibacterium	facultatively anaerobic
Actinotalea	facultatively anaerobic
Demequina	aerobic
Aquabacterium	anaerobic
Methanocalculus	anaerobic
Ideonella 	aerobic
Streptacidiphilus	aerobic
Methylopila	aerobic
Xylophilus	aerobic
Tolumonas 	aerobic
Tolumonas 	anaerobic
Sphaerotilus	aerobic
Tepidimonas	aerobic
Catenococcus 	facultatively anaerobic
Morococcus	aerobic
Intestinimonas	anaerobic
Jeotgalibaca	facultatively anaerobic
Jeotgalicoccus	facultatively anaerobic
Kinneretia	aerobic
Larsenimonas	aerobic
Leptolinea 	anaerobic
Levilinea	anaerobic
Longibacter	facultatively anaerobic
Longicatena	anaerobic
Luteitalea	aerobic
Lysinimonas	aerobic
Mangrovibacter	facultatively anaerobic
Marinicella	aerobic
Marinicrinis 	facultatively anaerobic
Melioribacter 	facultatively anaerobic
Methanotorris	anaerobic
Methyloparacoccus	aerobic
Mobilitalea	anaerobic
Modicisalibacter	aerobic
Muribaculum	anaerobic
Muricomes	anaerobic
Naasia	aerobic
